"Gene.names","Protein.names","Organism","Length"
"KDSR FVT1 SDR35C1","3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)","Homo sapiens (Human)",332
"PRCC TPRC","Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)","Homo sapiens (Human)",491
"PAX5","Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP)","Homo sapiens (Human)",391
"BRAF BRAF1 RAFB1","Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)","Homo sapiens (Human)",766
"LHX4","LIM/homeobox protein Lhx4 (LIM homeobox protein 4)","Homo sapiens (Human)",390
"PHB","Prohibitin","Homo sapiens (Human)",272
"LYN JTK8","Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)","Homo sapiens (Human)",512
"FES FPS","Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)","Homo sapiens (Human)",822
"JAZF1 TIP27 ZNF802","Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802)","Homo sapiens (Human)",243
"KIT SCFR","Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)","Homo sapiens (Human)",976
"MDM2","E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)","Homo sapiens (Human)",491
"Arhgef2 Kiaa0651 Lbcl1 Lfc","Guanine nucleotide exchange factor DBS (DBLs big sister) (MCF2-transforming sequence-like protein)	MCF2L KIAA0362 OST	Homo sapiens (Human)	1137
Q6GV12	KDSR_MOUSE	reviewed	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1 homolog) (FVT-1)	Kdsr Fvt1	Mus musculus (Mouse)	332
P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
Q95M30	HCK_MACFA	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p56-HCK)	HCK	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	504
P63092	GNAS2_HUMAN	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	GNAS GNAS1 GSP	Homo sapiens (Human)	394
P26618	PGFRA_MOUSE	reviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (Platelet-derived growth factor alpha receptor) (CD antigen CD140a)	Pdgfra	Mus musculus (Mouse)	1089
P55197	AF10_HUMAN	reviewed	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068
O77627	JUN_BOVIN	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog)	JUN	Bos taurus (Bovine)	335
P42568	AF9_HUMAN	reviewed	Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3)	MLLT3 AF9 YEATS3	Homo sapiens (Human)	568
O88573	AFF1_MOUSE	reviewed	AF4/FMR2 family member 1 (Proto-oncogene AF4) (Protein AF-4)	Aff1 Mllt2 Mllt2h	Mus musculus (Mouse)	1216
Q2KIJ5	KDSR_BOVIN	reviewed	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1 homolog) (FVT-1)	KDSR FVT1	Bos taurus (Bovine)	331
P05627	JUN_MOUSE	reviewed	Transcription factor AP-1 (AH119) (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (Jun A)	Jun	Mus musculus (Mouse)	334
Q8N1I0	DOCK4_HUMAN	reviewed	Dedicator of cytokinesis protein 4	DOCK4 KIAA0716	Homo sapiens (Human)	1966
P23804	MDM2_MOUSE	reviewed	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)	Mdm2	Mus musculus (Mouse)	489
O60674	JAK2_HUMAN	reviewed	Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2)	JAK2	Homo sapiens (Human)	1132
P24793	MYCN_XENLA	reviewed	N-myc protein	mycn nmyc	Xenopus laevis (African clawed frog)	437
P49032	MYC_CALJA	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Callithrix jacchus (White-tufted-ear marmoset)	438
A2T7L5	MYC_PONPY	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pongo pygmaeus (Bornean orangutan)	439
Q06455	MTG8_HUMAN	reviewed	Protein CBFA2T1 (Cyclin-D-related protein) (Eight twenty one protein) (Protein ETO) (Protein MTG8) (Zinc finger MYND domain-containing protein 2)	RUNX1T1 AML1T1 CBFA2T1 CDR ETO MTG8 ZMYND2	Homo sapiens (Human)	604
P00540	MOS_HUMAN	reviewed	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Homo sapiens (Human)	346
P42336	PK3CA_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PIK3CA	Homo sapiens (Human)	1068
P01103	MYB_CHICK	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB	Gallus gallus (Chicken)	641
P03966	MYCN_MOUSE	reviewed	N-myc proto-oncogene protein	Mycn Nmyc Nmyc1	Mus musculus (Mouse)	462
Q28350	MYC_CANLF	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Canis lupus familiaris (Dog) (Canis familiaris)	439
P01109	MYC_CHICK	reviewed	Myc proto-oncogene protein (c-Myc)	MYC	Gallus gallus (Chicken)	416
Q2HJ27	MYC_BOVIN	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Bos taurus (Bovine)	439
P01108	MYC_MOUSE	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	Myc	Mus musculus (Mouse)	439
B8XIA5	MYC_MACMU	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Macaca mulatta (Rhesus macaque)	439
P23583	MYC_PANTR	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pan troglodytes (Chimpanzee)	439
P35749	MYH11_HUMAN	reviewed	Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)	MYH11 KIAA0866	Homo sapiens (Human)	1972
P06876	MYB_MOUSE	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	Myb	Mus musculus (Mouse)	636
Q64210	MYC2_OTOBE	reviewed	N-myc 2 proto-oncogene protein	N-MYC2	Otospermophilus beecheyi (California ground squirrel) (Spermophilus beecheyi)	454
Q29031	MYC_PIG	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Sus scrofa (Pig)	439
Q28566	MYC_SHEEP	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Ovis aries (Sheep)	439
Q9MZT8	MYC_PTEHP	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pteropus hypomelanus (Island flying fox) (Variable flying fox)	440
A1YG22	MYC_PANPA	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Pan paniscus (Pygmy chimpanzee) (Bonobo)	439
Q9MZT7	MYC_TADBR	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Tadarida brasiliensis (Brazilian free-tailed bat)	439
Q9MZT9	MYC_TUPGL	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Tupaia glis (Tree shrew) (Sorex glis)	439
Q96EZ4	MYEOV_HUMAN	reviewed	Myeloma-overexpressed gene protein (Oncogene in multiple myeloma)	MYEOV OCIM	Homo sapiens (Human)	313
Q9QYE0	PLAG1_MOUSE	reviewed	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	Plag1	Mus musculus (Mouse)	499
Q5U2T6	PLAG1_RAT	reviewed	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	Plag1	Rattus norvegicus (Rat)	499
P56278	MTCP1_HUMAN	reviewed	Protein p13 MTCP-1 (p13MTCP1) (Mature T-cell proliferation-1 type B1) (MTCP-1 type B1)	MTCP1 C6.1B	Homo sapiens (Human)	107
P04198	MYCN_HUMAN	reviewed	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	MYCN BHLHE37 NMYC	Homo sapiens (Human)	464
Q61976	MYCN_MARMO	reviewed	N-myc proto-oncogene protein (N-myc1)	MYCN NMYC NMYC1	Marmota monax (Woodchuck)	460
Q5FVC2	ARHG2_RAT	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1)	Arhgef2	Rattus norvegicus (Rat)	985
Q04982	BRAF_CHICK	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (Proto-oncogene c-Rmil) (Serine/threonine-protein kinase Rmil)	BRAF RMIL	Gallus gallus (Chicken)	806
P42337	PK3CA_MOUSE	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	Pik3ca	Mus musculus (Mouse)	1068
Q9TST0	BMI1_FELCA	reviewed	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4)	BMI1 BMI-1 PCGF4	Felis catus (Cat) (Felis silvestris catus)	326
Q7Z628	ARHG8_HUMAN	reviewed	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)	NET1 ARHGEF8	Homo sapiens (Human)	596
Q60875	ARHG2_MOUSE	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (LBCS first cousin) (Lymphoid blast crisis-like 1) (Oncogene LFC) (Rhobin)","Mus musculus (Mouse)",985
"LYL1 BHLHA18","Protein lyl-1 (Class A basic helix-loop-helix protein 18) (bHLHa18) (Lymphoblastic leukemia-derived sequence 1)","Homo sapiens (Human)",280
"PAX7 HUP1","Paired box protein Pax-7 (HuP1)","Homo sapiens (Human)",505
"RRAS2 TC21","Ras-related protein R-Ras2 (Ras-like protein TC21) (Teratocarcinoma oncogene)","Homo sapiens (Human)",204
"GMPS","GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)","Homo sapiens (Human)",693
"PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345","Platelet-derived growth factor D (PDGF-D) (Iris-expressed growth factor) (Spinal cord-derived growth factor B) (SCDGF-B) [Cleaved into: Platelet-derived growth factor D, latent form (PDGFD latent form); Platelet-derived growth factor D, receptor-binding form (PDGFD receptor-binding form)]","Homo sapiens (Human)",370
"CBFB","Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)","Homo sapiens (Human)",182
"ELAC2 HPC2","Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)","Homo sapiens (Human)",826
"DDX6 HLR2 RCK","Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)","Homo sapiens (Human)",483
"FGF6 HST2 HSTF2","Fibroblast growth factor 6 (FGF-6) (Heparin secretory-transforming protein 2) (HST-2) (HSTF-2) (Heparin-binding growth factor 6) (HBGF-6)","Homo sapiens (Human)",208
"FGR SRC2","Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)","Homo sapiens (Human)",529
"PICALM CALM","Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein)","Homo sapiens (Human)",652
"PATZ1 PATZ RIAZ ZBTB19 ZNF278 ZSG","POZ-, AT hook-, and zinc finger-containing protein 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278) (Zinc finger sarcoma gene protein)","Homo sapiens (Human)",687
"AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6","Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)","Homo sapiens (Human)",403
"ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9","Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)","Homo sapiens (Human)",553
"NCOA4 ARA70 ELE1 RFG","Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator 70 kDa protein) (70 kDa AR-activator) (70 kDa androgen receptor coactivator) (Androgen receptor-associated protein of 70 kDa) (Ret-activating protein ELE1)","Homo sapiens (Human)",614
"PDGFRA PDGFR2 RHEPDGFRA","Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)","Homo sapiens (Human)",1089
"PAX3 HUP2","Paired box protein Pax-3 (HuP2)","Homo sapiens (Human)",479
"NFKB2 LYT10","Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (H2TF1) (Lymphocyte translocation chromosome 10 protein) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) (Oncogene Lyt-10) (Lyt10) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit]","Homo sapiens (Human)",900
"HMGA2 HMGIC","High mobility group protein HMGI-C (High mobility group AT-hook protein 2)","Homo sapiens (Human)",109
"AFF4 AF5Q31 MCEF HSPC092","AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)","Homo sapiens (Human)",1163
"NSD2 KIAA1090 MMSET TRX5 WHSC1","Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.356) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Protein trithorax-5) (Wolf-Hirschhorn syndrome candidate 1 protein)","Homo sapiens (Human)",1365
"KAT6A MOZ MYST3 RUNXBP2 ZNF220","Histone acetyltransferase KAT6A (EC 2.3.1.48) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 3) (MYST-3) (Monocytic leukemia zinc finger protein) (Runt-related transcription factor-binding protein 2) (Zinc finger protein 220)","Homo sapiens (Human)",2004
"CCN4 WISP1","CCN family member 4 (WNT1-inducible-signaling pathway protein 1) (WISP-1) (Wnt-1-induced secreted protein)","Homo sapiens (Human)",367
"PDGFRB PDGFR PDGFR1","Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)","Homo sapiens (Human)",1106
"NR4A3 CHN CSMF MINOR NOR1 TEC","Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)","Homo sapiens (Human)",626
"POU2AF1 OBF1","POU domain class 2-associating factor 1 (B-cell-specific coactivator OBF-1) (BOB-1) (OCA-B) (OCT-binding factor 1)","Homo sapiens (Human)",256
"PIM1","Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)","Homo sapiens (Human)",313
"NUP214 CAIN CAN KIAA0023","Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)","Homo sapiens (Human)",2090
"MYB","Transcriptional activator Myb (Proto-oncogene c-Myb)","Homo sapiens (Human)",640
"MYC BHLHE39","Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)","Homo sapiens (Human)",439
"PIM3","Serine/threonine-protein kinase pim-3 (EC 2.7.11.1)","Homo sapiens (Human)",326
